playbook,trades,wr,avg_trade,total_pnl,med_trade,avg_stop_pts,avg_tp1_pts,avg_tp2_pts,avg_trail_pts,avg_be_pts,avg_rr,avg_atr,avg_conf,run
DF,5273,0.4925090081547506,-7.819102977432203,-41230.130000000005,-4.2,9.420772141096151,6.986017883557746,17.99649981035464,6.986017883557746,6.110754010999431,1.8959534610278779,5.998833131044946,85.0,1m
CB,3268,0.4785801713586291,-5.5393268053855556,-18102.519999999997,-2.76,9.108708965728274,6.4278001835985314,16.332855599755202,5.9591655752753985,5.149769063647491,1.7931000000000001,6.281868971848225,79.87091493268053,1m
SB,4304,0.48652416356877326,-4.507760223048327,-19401.399999999998,-2.16,8.686362290892195,6.563452578996283,17.372724488847584,6.078567053903346,5.210882597583643,2.0,6.434343169144982,84.99281366171004,1m
SS,1812,0.4746136865342163,-4.293465783664459,-7779.76,-3.8,6.1841333333333335,4.954383388520971,11.292766169977925,4.758730242825607,4.088718101545254,1.8261,5.3775081677704195,72.0,1m
MR,3629,0.29154036924772664,-2.1907963626343343,-7950.4,-1.9,5.715949572885092,4.774184210526316,7.9821639570129514,4.58415056489391,4.021485615872141,1.3949585836318543,5.701545549738221,63.0,1m
DF,3321,0.49262270400481784,-10.458536585365854,-34732.8,-3.58,11.951378380006023,7.946787714543812,23.104268262571516,7.946787714543812,6.223529027401385,1.9309271002710027,7.70142300511894,85.0,5m
CB,585,0.46495726495726497,-8.496170940170938,-4970.259999999998,-6.62,10.861464957264959,7.522263760683761,19.475727692307693,6.816959658119658,5.349839145299145,1.7930999999999997,7.490665982905983,79.83140170940172,5m
SB,1005,0.4388059701492537,-10.69628855721393,-10749.769999999999,-7.6,10.296515124378109,7.666910547263682,20.59303064676617,6.959989651741294,5.459431044776119,2.0,7.627047661691542,84.9909751243781,5m
SS,273,0.4065934065934066,-13.555934065934064,-3700.7699999999995,-7.6,7.407086080586081,5.815837362637363,13.525984981684982,5.509351648351648,4.194904761904762,1.8261,6.440946153846154,72.0,5m
MR,275,0.2909090909090909,-3.0597818181818175,-841.4399999999998,-3.8,6.793505818181818,5.495017818181818,9.507032727272728,5.194904,4.061569454545454,1.3990301818181818,6.790736,63.0,5m
