playbook,leg_rows,leg_wr,leg_avg,run
DF,7845,0.6145315487571702,-5.2555933715742515,1m
CB,4822,0.6061800082953132,-3.754151804230609,1m
SB,6379,0.6178084339238125,-3.0414485029001406,1m
SS,2682,0.587248322147651,-2.900730797912006,1m
MR,3629,0.29154036924772664,-2.1907963626343343,1m
DF,9579,0.6169746320075165,-3.6259317256498593,5m
CB,1700,0.6047058823529412,-2.923682352941176,5m
SB,2855,0.5856392294220666,-3.7652434325744304,5m
SS,758,0.5277044854881267,-4.882282321899736,5m
MR,547,0.2906764168190128,-1.5382815356489943,5m
